IDENTIFIER,GSM1338298,GSM1338302,GSM1338306,GSM1338297,GSM1338301,GSM1338305,GSM1338296,GSM1338300,GSM1338304,GSM1338295,GSM1338299,GSM1338303,label
SLX4,-0.152252336,-0.215925027,-0.144543858,-0.105306443,-0.110708314,-0.107215718,-0.21469852,-0.233982077,-0.242917036,-0.226170972,-0.243520169,-0.242382364,FALSE
LSG1,-0.16489988,-0.083803192,-0.21881001,-0.251254544,-0.238124573,-0.240866888,-0.19985159,-0.194747251,-0.205785496,-0.259782646,-0.263338989,-0.258990662,FALSE
PIGV,-0.168042154,-0.256658055,-0.188764826,-0.118142519,-0.161882856,-0.185087246,-0.240366804,-0.259155143,-0.223727415,-0.249754074,-0.229127,-0.245540661,FALSE
POLD4,-0.284667456,-0.293069923,-0.275575988,-0.278829393,-0.284892947,-0.279286326,-0.300325763,-0.299404727,-0.298730235,-0.269154804,-0.289559354,-0.278985408,FALSE
FAM160A2,-0.274727034,-0.280297161,-0.259677415,-0.295405855,-0.286108215,-0.300574043,-0.280166477,-0.266720047,-0.285346416,-0.278676049,-0.283269939,-0.285096518,FALSE
TMEM120A,-0.097452727,-0.115593211,-0.094514183,-0.061496229,-0.066676671,-0.084150167,-0.187750187,-0.167963481,-0.210101279,-0.210364953,-0.209504227,-0.245519455,FALSE
HSPE1,2.328333566,2.259384505,2.264046956,1.848973395,1.82202141,2.646713699,2.8736357,3.052111365,3.450876488,2.044887638,2.337502793,2.890128839,FALSE
INTS3,-0.023566354,0.065705563,-0.020646748,0.008779353,0.00013299,0.097837784,-0.035051187,-0.029915047,-0.106503666,-0.071176455,-0.103101413,-0.172757972,FALSE
TKT,2.090675934,2.632454656,2.519936708,3.517528192,3.442256789,2.953735439,1.599324652,1.421048476,0.928084789,1.730931176,1.514670179,1.159263015,FALSE
ERP27,-0.326647458,-0.33124317,-0.331680678,-0.324175641,-0.328394971,-0.328463864,0.204586508,0.162129497,0.127170978,0.509322754,0.367615096,0.303866963,FALSE
CDC27,-0.328421814,-0.326399533,-0.326122199,-0.31547948,-0.327854364,-0.332094722,-0.325886005,-0.324028908,-0.311259176,-0.309719968,-0.319783851,-0.30783567,FALSE
RRP7A,-0.103960995,-0.082482005,-0.051033796,-0.148414595,-0.118691425,-0.107218331,0.01025068,0.101469531,0.214431075,0.158460975,0.168483917,0.250504984,FALSE
NUP37,0.507527612,0.567518445,0.769747153,0.566647617,0.713165189,0.587319374,0.727156285,0.716496859,0.772144664,0.800084028,0.832007465,0.878811527,FALSE
