IDENTIFIER,GSM1338298,GSM1338302,GSM1338306,GSM1338297,GSM1338301,GSM1338305,GSM1338296,GSM1338300,GSM1338304,GSM1338295,GSM1338299,GSM1338303,label
ALPK3,104.021,95.3597,98.6869,95.2248,95.9122,98.5888,96.1949,97.4665,102.838,95.9417,101.241,97.2519,FALSE
PTPRF,925.3395,697.314,891.025,1299.5845,1179.3695,980.43,3259.9185,3044.973,2926.6185,4522.28,4710.58,3863.2395,FALSE
C17orf80,158.543,171.247,159.934,180.628,181.005,211.516,192.485,215.479,160.5,199.837,180.91,172.401,FALSE
LIPG,95.92705,100.687,97.71985,104.8095,111.7495,97.87265,783.3075,693.54,609.599,758.216,723.6855,642.3315,FALSE
IBSP,106.505,113.54,104.638,113.554,116.552,114.25,106.429,104.433,102.327,105.236,105.424,105.412,FALSE
NEU1,888,772.22,749.367,1266.64,1341.23,1260.03,328.102,341.074,270.291,349.065,404.516,347.991,FALSE
SLC52A2,2492.8,2339.22,2734.93,2018.41,2264.25,2703.05,856.851,973.684,704.029,729.664,792.918,517.324,FALSE
MCRS1,519.3815,431.7955,521.8805,541.255,543.457,570.135,489.1685,568.2465,536.973,506.2075,516.7865,458.5615,FALSE
RAET1L,101.362,92.6389,104.454,97.4848,99.6402,97.6602,105.871,99.2703,97.9452,97.6326,108.402,105.93,FALSE
IGDCC3,101.1202,99.93283333,113.6661,100.1918333,106.6476667,101.7048667,104.9537,110.6362333,99.60773333,103.4418667,103.1003667,98.29053333,FALSE
TMPRSS12,120.6925,136.6165,125.9055,123.1522,125.463,120.3945,124.2847,114.641,118.3383,108.65415,122.7965,111.94,FALSE
ALKBH2,407.163,423.732,444.392,307.662,294.3,324.082,361.861,450.288,321.004,270.185,296.743,258.483,FALSE
FBXO21,416.7815,373.4635,397.4445,397.814,388.766,373.5095,457.194,579.153,515.801,477.0375,504.197,459.9335,FALSE
MTIF3,1667.3,1506.52,1701.62,1556.25,1334.76,1441.68,1008.06,918.691,882.453,923.12,942.783,982.336,FALSE
HOOK1,98.0206,108.479,103.271,100.036,103.243,101.076,684.602,594.262,608.981,837.038,890.884,706.53,FALSE
FRMD5,113.6965,105.914,117.1765,111.5335,105.179,103.264,115.6975,122.065,113.675,108.328,119.6315,106.7425,FALSE
KRAS,189.09725,195.39,190.053,164.6741,178.2613,166.2541,211.1215,210.4982,207.56655,210.296,200.732,216.5119,TRUE
CDC42SE2,363.121,385.257,353.285,343.8165,369.435,368.1,504.8375,508.6965,507.4225,655.1645,665.799,591.65,FALSE
CRIM1,370.955,304.073,301.769,346.896,382.094,415.195,381.87,529.527,427.617,512.453,470.415,365.888,FALSE
OR5B12,95.522,93.9692,99.5386,93.9103,99.1703,96.5265,99.1404,90.3986,94.2296,85.6712,97.914,95.5045,FALSE
ELP4,223.72,225.49,240.242,204.932,188.046,211.137,411.005,373.629,371.237,300.643,300.795,333.021,FALSE
ST3GAL5,136.947,139.9655,143.2005,117.5395,119.9455,105.5065,218.8345,210.9395,150.0135,118.5395,120.315,124.5,FALSE
